1111「雙主修(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
             雙主修           主系,中文,英文,法文,文院學士班,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,太空,客社,生科,生醫,系(所)總合
中國文學系,,1,1,,,,,,,,,,,,2,,11,,,,,,,,,,,,15
英美語文學系,1,,2,,,,,,,,,,,,3,1,10,,,,,,,,,,,,17
法國語文學系,,1,,,,,,,,,,,,,4,8,13,,,,,,1,,,,,,27
文學院學士班,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3
數學系,,,,,1,1,,,,1,1,,,,,,3,1,7,,,,,,,,,,15
物理學系,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,3
化學學系,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,,,6,2,,,,,1,,,,,9
理學院學士班,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2
土木工程學系,,,,,,1,,,,,,,,1,1,,,2,1,,,,,,,,,,6
機械工程學系,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,4
工學院學士班,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,8
企業管理學系,,1,2,,,,,,,,,,,,7,15,4,1,1,,,,,,,,,,31
資訊管理學系,,,1,,,,,,,,,,,,1,2,,1,19,,,,,,,,1,,25
財務金融學系,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2
經濟學系,,,,,1,,,,,,,1,,,5,13,4,1,,,,,,,,,,3,28
電機工程學系,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,6
資訊工程學系,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,3
通訊工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
資訊電機學院學士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,4
地球科學學院學士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
太空科學與工程學系,,,,,,1,,,,,1,,,,,1,1,1,2,,,,1,,1,,,,9
客家語文暨社會科學學系,,1,,,,,,,,,,,,,,1,10,,,,,,,,,,,,12
生命科學系,,,,,,1,,,,,,,,,3,,1,,,,,,,,,,,,5
生醫科學與工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
總合,1,5,7,,3,4,,,,1,3,3,,1,27,44,57,33,38,,,,2,1,3,1,2,3,239
