1092「第二專長(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
              第二專長      所屬系所,中文,人文應用與文創實務,英美文學與文化研究,法語文化與跨文化,藝術史實務,數學科學,計算與資料科學,物理,化學,光學,材料與製造工程,能源科技,機械設計,光機電工程,化學工程與材料工程,土木工程,國際金融,國際經貿,智慧電子,初階積體電路設計,資訊工程程式設計,人工智慧,通訊工程,社會實踐與發展,公共行政與政策,法律,生物科技,生物多樣性,哲學思考,認知神經科學,應用地球科學,循環經濟,系(所)總合
中國文學系,,5,,,11,,,,,,,,,,,,1,,,,1,,,,2,8,,,,,,,28
英美語文學系,,,,,6,,,,,,,,,,,,6,1,,,,,,,,10,,1,,1,,,25
法國語文學系,,1,,,13,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,1,18
數學系,,,,,,,,1,,,,,,,,,5,,1,,11,3,,,,2,,,,,,,23
物理學系,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,3
化學學系,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
理學院學士班,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,,,,,,,,,,,,3,,1,,,3,,,,,,,7
機械工程學系,,,,,,,,,,,,,,,,,,,2,,4,1,,,,1,,,,,,,8
工學院學士班,,,,,,,,,,,1,,,,,,,,,,4,1,,,,1,,,,1,,,8
企業管理學系,1,1,,,1,,,,,,,,,,,,4,,,,1,,,,,4,,,,,,,12
資訊管理學系,,,,,,,,,,,,,,,,,3,,,,23,12,,,,4,,,,,,,42
財務金融學系,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,6
經濟學系,,,,,1,,,,,,,,,,,,,,,,9,,,,,18,,,,,,,28
電機工程學系,,,,,1,,,,,,,,,,,,1,,,,10,2,,,,,,,,1,,,15
資訊工程學系,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,4
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,2,3,,,,,,,,,,,6
大氣科學學系,,,,,,,,4,,,,,,,,,1,,,,3,,,,,2,,,,,,,10
地球科學學系,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,4
地球科學學院學士班,,,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,4
客家語文暨社會科學學系,,2,,,1,,,,,,,,,,,,1,1,,,,,,,3,15,,,1,,,1,25
生命科學系,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
總合,2,9,,,36,1,,5,1,,1,,,,1,,24,2,5,,80,25,3,,5,74,,1,1,3,,2,281
