110學年度第一學期「雙主修」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
"          申請雙主修別
所屬系所",中文,英文,法文,文院學士班,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,太空,客社,生科,生醫,系(所)總合
中國文學系,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2
英美語文學系,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,5
法國語文學系,,1,,,,,,,,,,,,,,3,2,,,,,,1,,,,,,7
文學院學士班,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2
數學系,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,3
物理學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,5
土木工程學系,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2
機械工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
工學院學士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
企業管理學系,,,,,,,,,,,,,,,3,6,1,1,,,,,,,,,,,11
資訊管理學系,,,,,,,,,,,,,,,,1,,,9,,,,,,,,1,,11
經濟學系,,,,,1,,,,,,,,,,3,5,,,,,,,,,,,,,9
通訊工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
大氣科學學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2
太空科學與工程學系,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,3
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5
生命科學系,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
總合,,1,3,,1,1,,,,1,1,,,1,10,17,12,9,13,,,,1,,,,2,,73
