1102「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,系(所)總合
中國文學系,2,1,3,1,,,9,,,,,3,1,10,1,,1,,,2,,,,3,,4,,4,,7,,,,,,,,,,52
英美語文學系,8,7,3,1,,,3,,,,,,9,2,,,4,,,,,,,,,,,3,,4,,,,3,,,,,,47
法國語文學系,5,11,3,2,,,5,,,,,,2,8,,,1,,,,,,,3,,1,,8,,7,,,,,,,,,,56
文學院學士班,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,2,,,,,,,,,,6
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
學習與教學研究所碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
數學系,1,6,3,,,,,,,,,1,,,,,,4,,,,,,1,6,,,1,10,,,,1,,,,,,,34
物理學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,,,,5
化學學系,,1,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,4
