103學年度第一學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計,氣候變遷調適,商業智慧與分析,系(所)總合
英美語文學系,1,,,,,,,,,,,,,,,,,,,,,,,,,1
物理學系,,,,,,,,,,1,,,,,,,,,,,,,,,,1
企業管理學系,,,,1,,,,,,,,,,,,1,,,,,,,,,,2
資訊管理學系,,,1,2,,,,,,,,,,,,,,,,,,,,,,3
財務金融學系,,,2,,,,,,,,,,,,,,,,,,,,,,,2
企業管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,,1,,,,,,,,,,,,,,,,,,,1
地球科學學系,,,,,,,1,,,,,,,,,,,,,,,,,,,1
總合,1,,3,4,,,2,,,1,,,,,,1,,,,,,,,,,12
