1131「輔系(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
"              輔系
 所屬系所",中文,英文,法文,文院學士班,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,太空,客社,生科,生醫,系(所)總合
中國文學系,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,4
英美語文學系,,,,,,,,,,,,,,1,,1,8,,,,,,,,,1,,2,13
法國語文學系,,,,,,,,,,,,,,2,,1,16,,,,,,1,,,,,,20
文學院學士班,1,1,3,,,,,,,,,,,,,2,1,,,,,,,,,1,,1,10
數學系,,,,,,1,,,,,,,,,,1,1,1,2,,,,,,,,,,6
物理學系,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,5
化學學系,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
光電科學與工程學系,,,,,,3,,,,,2,,,,,,,8,1,,,,1,,,,,,15
理學院學士班,,,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,4
土木工程學系,,,,,,,,2,,,,1,,,,1,1,1,,,,,1,,,,,,7
機械工程學系,,,,,,,,,,,,1,,,,,1,2,,1,,,1,,,,,1,7
化學工程與材料工程學系,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
工學院學士班,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2
企業管理學系,,,,,,,,,,,1,,,,3,10,2,,,,,,,,,,,,16
資訊管理學系,,,,,,,,,,1,,,,,,4,,,3,,,,,,,,,,8
財務金融學系,,,,,2,,,,,,,,,,4,1,1,,,,,,,,,2,,,10
經濟學系,1,,,,2,,,,,1,,,,1,1,13,1,,,1,,,,,,,,,21
電機工程學系,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,6
資訊工程學系,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,3
通訊工程學系,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
資訊電機學院學士班,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,,1,,,,,1,,,,1,,,,,,,2,,1,,1,,7
地球科學學系,,,,,1,,,,,3,1,,,,,,2,1,1,1,,,,,1,,2,,13
地球科學學院學士班,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,4
太空科學與工程學系,,,,,,1,,,,,3,1,,,,,3,2,,8,,,1,,,,1,,20
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,4
生命科學系,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,2,5
生醫科學與工程學系,,,,,,,,1,,,,1,,,,,,,2,,,,1,,,,,,5
總合,3,2,3,,5,6,3,4,,5,8,11,,4,9,35,44,22,16,14,,,8,,2,4,6,6,220
